names,Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK,congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
doug jones,Doug Jones ,Sen,03-Jan-18,sendougjones,sendougjones,sendougjones,sendougjones,,116,Senate,41705,41,0,AL,100,,,"JONES, Doug",J000300,1954,,-0.088,0.187,-80.32594,0.88065,632,33,,-0.081,0.234
richard shelby,Richard Shelby ,Sen,03-Jan-87,SenShelby,SenShelby,SenShelby,SenShelby,,116,Senate,94659,41,0,AL,200,,,"SHELBY, Richard",S000320,1934,,0.446,0.57,-45.74049,0.93334,663,27,,0.437,0.219
dan sullivan,Dan Sullivan ,Sen,03-Jan-15,SenDanSullivan,SenDanSullivan,SenDanSullivan,SenDanSullivan,,116,Senate,41500,81,0,AK,200,,,"SULLIVAN, Dan",S001198,1964,,0.485,0.061,-53.27224,0.92119,649,23,,0.51,-0.04
lisa murkowski,Lisa Murkowski ,Sen,20-Dec-02,LisaMurkowski,LisaMurkowski,LisaMurkowski,LisaMurkowski,,116,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.211,-0.304,-47.53006,0.92655,623,11,,0.283,-0.424
kyrsten sinema,Kyrsten Sinema ,Sen,03-Jan-19,SenatorSinema,SenatorSinema,SenatorSinema,SenatorSinema,,116,Senate,21300,61,0,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.076,-86.25793,0.86773,608,27,,-0.065,0.217
martha mcsally,Martha McSally ,Sen,03-Jan-19,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,SenMcSallyAZ,,116,Senate,21501,61,0,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.027,-35.62669,0.94281,605,13,,0.338,0.209
tom cotton,Tom Cotton ,Sen,03-Jan-15,SenTomCotton,SenTomCotton,SenTomCotton,SenTomCotton,,116,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.607,0.138,-80.36529,0.88568,662,35,,0.471,-0.083
john boozman,John Boozman ,Sen,03-Jan-11,JohnBoozman,JohnBoozman,JohnBoozman,JohnBoozman,,116,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.426,0.327,-30.92739,0.95476,668,15,,0.354,0.245
dianne feinstein,Dianne Feinstein ,Sen,04-Nov-92,SenFeinstein,SenFeinstein,SenFeinstein,SenFeinstein,,116,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.183,-78.02118,0.88851,660,24,,-0.263,-0.057
kamala harris,Kamala Harris ,Sen,03-Jan-17,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,SenKamalaHarris,,116,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala",H001075,1964,,-0.709,-0.105,-29.10452,0.90983,308,12,,-0.729,-0.137
cory gardner,Cory Gardner ,Sen,03-Jan-15,SenCoryGardner,SenCoryGardner,SenCoryGardner,SenCoryGardner,,116,Senate,21112,62,0,CO,200,,,"GARDNER, Cory",G000562,1974,,0.444,-0.029,-48.59692,0.92807,651,21,,0.355,-0.009
michael bennet,Michael Bennet ,Sen,21-Jan-09,SenatorBennet,SenatorBennet,SenatorBennet,SenatorBennet,,116,Senate,40910,62,0,CO,100,,,"BENNET, Michael",B001267,1964,,-0.23,-0.17,-109.41787,0.82048,553,49,,-0.3,-0.144
chris murphy,Chris Murphy ,Sen,03-Jan-13,ChrisMurphyCT,ChrisMurphyCT,senmurphyoffice,senmurphyoffice,ChrisMurphyCT(CSPAN) senmurphyoffice(REST) ,116,Senate,20707,1,0,CT,100,,,"MURPHY, Chris",M001169,1973,,-0.27,-0.197,-157.32604,0.78904,664,69,,-0.165,-0.323
richard blumenthal,Richard Blumenthal ,Sen,03-Jan-11,SenBlumenthal,SenBlumenthal,SenBlumenthal,SenBlumenthal,,116,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.435,-0.168,-109.45955,0.8476,662,47,,-0.456,-0.173
tom carper,Tom Carper ,Sen,03-Jan-01,SenatorCarper,SenatorCarper,SenatorCarper,SenatorCarper,,116,Senate,15015,11,0,DE,100,,,"CARPER, Tom",C000174,1947,,-0.178,-0.223,-105.65522,0.85289,664,29,,-0.19,-0.211
chris coons,Chris Coons ,Sen,15-Nov-10,ChrisCoons,ChrisCoons,ChrisCoons,ChrisCoons,,116,Senate,40916,11,0,DE,100,,,"COONS, Chris",C001088,1963,,-0.231,-0.212,-76.06469,0.88876,645,26,,-0.21,-0.237
rick scott,Rick Scott ,Sen,08-Jan-19,SenRickScott,SenRickScott,,,(Name is present with no Twitter handle in Github),116,Senate,41903,43,0,FL,200,,,"SCOTT, Rick",S001217,1952,,0.657,0.183,-68.48504,0.89882,642,32,,0.547,0.065
marco rubio,Marco Rubio ,Sen,03-Jan-11,marcorubio,marcorubio,SenRubioPress,SenRubioPress,marcorubio(CSPAN) SenRubioPress(REST),116,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.609,-0.166,-51.33871,0.92245,636,26,,0.517,-0.102
david perdue,David Perdue ,Sen,03-Jan-15,sendavidperdue,sendavidperdue,sendavidperdue,sendavidperdue,,116,Senate,41501,44,0,GA,200,,,"PERDUE, David",P000612,1949,,0.562,-0.075,-38.26812,0.93689,587,19,,0.474,0.156
